Workspace	Bucket Name	Discovery Count	Family Count	Participant Count	Sample Count	Subject Count	File Size
AnVIL_CCDG_WashU_CVD_EOCAD_METSIM_WGS	fc-secure-2011b97c-a9c9-4a13-8911-f3833be31253	0	0	9477	9477	0	134168222296988
AnVIL_CCDG_NYGC_NP_Autism_HFA_DS_WGS	fc-secure-203efee5-de46-4cb1-9374-3c5be56e5a5e	0	0	509	509	0	10170751804843
AnVIL_CMG_Broad_Blood_Sankaran_WGS	fc-secure-2069fdfd-aef5-4321-a69f-94bdff6396d8	0	0	96	96	0	1609882645515
AnVIL_CCDG_Broad_CVD_AFib_JHU_WGS	fc-secure-2085a664-58a9-404c-ae57-210fb19806fb	0	0	290	290	0	5449749814770
AnVIL_CCDG_Broad_CVD_AFib_MPP_WGS	fc-secure-20d7c83f-35a7-4b7e-9a1b-c40bfdff29b2	0	0	118	118	0	2545100871677
AnVIL_CCDG_WashU_CVD_EOCAD_Finland-CHD_WGS	fc-secure-215c5ec0-940a-4808-9353-667f3a3af3c3	0	0	155	155	0	3089850438783
AnVIL_ccdg_asc_ndd_daly_talkowski_puura_asd_exome	fc-secure-2180b508-ce9d-4535-aa9f-f07d5917025c	0	0	209	209	0	329072568821
AnVIL_CCDG_NYGC_NP_Alz_LOAD_WGS	fc-secure-21c6905e-06c8-45f2-b6ed-ffba467f7f75	0	0	0	1049	1049	24488970950003
AnVIL_CCDG_Broad_NP_Epilepsy_GBRSWU_CARDI_NEURO_WES	fc-secure-21cd882f-8470-4c2e-93dc-536a908bae73	0	0	235	235	0	323803412603
AnVIL_CCDG_Broad_NP_Epilepsy_FRALYU_HMB_WES	fc-secure-221b863c-a724-42f3-9f90-2081b352799c	0	0	1030	1030	0	1133570329958
AnVIL_CCDG_NYGC_NP_Autism_SSC_WGS	fc-secure-22693da1-7a53-4115-9b93-98856c7c1ca8	0	0	0	9201	9201	226627265018637
anvil_ccdg_broad_ai_ibd_daly_faubion_share_wes	fc-secure-228fd6fd-e0f7-4895-a246-3b055be27aa1	0	0	904	904	0	790735554869
AnVIL_CCDG_Broad_NP_Epilepsy_CHEUBB_HMB_IRB_MDS_WES	fc-secure-240e1629-6d73-42ab-a373-1abeec17824c	0	0	47	47	0	43875364555
AnVIL_CCDG_WashU_CVD_Kanazawa_WGS	fc-secure-2513a28a-aff0-422a-b650-9c05fa6800c3	0	0	273	273	0	3050884949455
AnVIL_CCDG_WashU_CVD_EOCAD_Penn_WGS	fc-secure-25f8efc0-42fc-48d5-9a39-53c131c4d6ef	0	0	1356	1356	0	27004223148660
AnVIL_CCDG_NYGC_NP_Autism_ACE2_DS-MDS_WGS	fc-secure-285cdab6-0292-4c49-b22f-5232df22e9a7	0	0	0	146	146	3191339912945
AnVIL_PAGE_MEC_GRU_WGS	fc-secure-286b80a7-cd88-4feb-bc4b-b497c13b7fa2	0	0	0	70	70	1705274413217
anvil_ccdg_broad_ai_ibd_niddk_daly_brant_wes	fc-secure-29cd113f-7eca-4526-aa52-dde1b8cb41d0	0	0	164	164	0	263875137562
AnVIL_CCDG_Broad_NP_Epilepsy_BELATW_GRU_WES	fc-secure-2a64d87a-8f6c-418f-87bb-bd0fb4ecd806	0	0	107	107	0	191505541229
AnVIL_CCDG_Broad_NP_Epilepsy_HKOSB_GRU_WES	fc-secure-2b4d5d05-d951-4e51-8ece-7e851660f91a	0	0	114	114	0	100724650511
AnVIL_eMERGE_PGRNseq	fc-secure-2c07111e-8696-439c-9183-64a9ecb083a7	0	0	9010	9010	0	2525144003
AnVIL_CCDG_Broad_CVD_AFib_MGH_WGS	fc-secure-2c4bf327-7583-4aee-b2c2-4575abdea4ca	0	0	105	105	0	2316511447737
AnVIL_ccdg_asc_ndd_daly_talkowski_kolevzon_asd_wgs	fc-secure-2e284171-99ef-45b5-9261-b99a9208b241	0	0	27	27	0	469926754727
AnVIL_CCDG_Baylor_CVD_Oregon_SUDS_GRU_WGS	fc-secure-2ecd823d-d20c-453d-a798-7fe21c195be7	0	0	2216	2216	0	38470509841966
AnVIL_CCDG_NYGC_AI_Asthma_Gala2_WGS	fc-secure-2f25349b-e646-426d-8aa7-3a7e779d70fa	0	0	0	1171	1171	28683744051957
anvil_ccdg_broad_ai_ibd_daly_newberry_share_wes	fc-secure-2fa3df40-c189-41ee-b5ba-484a0b77ef77	0	0	885	885	0	807466998082
AnVIL_CCDG_WashU_CVD_PAGE_HMB-NPU_WGS	fc-secure-3003014b-05be-4ee1-8aa5-cc10e9a51293	0	0	38	38	0	915308374010
AnVIL_CCDG_Broad_NP_Epilepsy_GBRUNL_GRU_WES	fc-secure-315a127f-649d-4928-b4e0-cdca7d898e05	0	0	55	55	0	119293202550
AnVIL_CCDG_Broad_MI_BRAVE_GRU_WES	fc-secure-31d85e96-7fa0-4c2e-a89a-fe5c70845fd7	0	0	1496	1496	0	2471741537121
AnVIL_CCDG_Broad_NP_Epilepsy_ITAUMR_GRU_NPU_WES	fc-secure-32a2f8aa-4f72-43e9-9450-bbf661bde5ef	0	0	1046	1046	0	1820433426643
AnVIL_CCDG_Broad_NP_Epilepsy_LTUUHK_HMB_NPU_MDS_WES	fc-secure-330f768f-83c4-4570-ae46-0626b477d2b0	0	0	296	296	0	475617321394
AnVIL_CCDG_Broad_CVD_AF_TMDU_Controls_WES	fc-secure-33bdfbdb-de58-474e-8591-dad501aa1995	0	0	1380	1380	0	1298388343389
AnVIL_CCDG_Broad_NP_Epilepsy_USAUPN_GRU_NPU_WES	fc-secure-35c81df8-8bdf-467a-af6f-fb807185b82e	0	0	6	6	0	74389348
anvil_ccdg_broad_ai_ibd_daly_pekow_share_wes	fc-secure-36dfb67b-d2fc-47a1-a94c-225d72e08afd	0	0	643	643	0	543972553579
1000G-high-coverage-2019-DEV_ONLY	fc-secure-3787d280-5600-4b0a-894d-f48513f79ff7	0	0	2504	2504	0	41289528702783
AnVIL_CCDG_WashU_CVD_Brazil-CVD_WGS	fc-secure-3824ddf8-5512-4dee-bdd5-b17ddc111ca7	0	0	3608	3608	0	37956268339338
anvil_ccdg_broad_ai_ibd_daly_sartor_share_wes	fc-secure-382fb414-642b-45ef-9a85-c6c443da8691	0	0	51	51	0	88103024089
AnVIL_CCDG_Broad_AI_IBD_McGovern_WGS	fc-secure-386d1d06-75c7-4683-b1ca-62e0d7ac3700	0	0	1633	1633	0	23389961695759
AnVIL_CMG_Broad_Blood_Gazda_WGS	fc-secure-391028be-a06b-460c-b2fd-409feee6a275	0	0	0	0	0	0
AnVIL_CCDG_Broad_NP_Epilepsy_USAUPN_Marsh_GRU_NPU_WES	fc-secure-39458ab6-c2d3-49e2-b6d5-8bb3bae9a245	0	0	17	17	0	21606659563
AnVIL_CCDG_WashU_CVD_EOCAD_BioImage_WGS	fc-secure-3aa171b5-8208-4467-8743-c7879f3da6da	0	0	0	922	0	17560197262940
AnVIL_CMG_Broad_Orphan_Estonia-Ounap_WES	fc-secure-3b2bc739-bbc0-4b14-80fa-65dcf17eac3b	31	31	0	31	31	76151840136
AnVIL_CCDG_Broad_NP_Epilepsy_IRLRCI_GRU_IRB_WES	fc-secure-3b588f92-0298-4ad6-b75d-fa16de8b718d	0	0	870	870	0	1471008434327
anvil_ccdg_broad_ai_ibd_daly_mccauley_wes	fc-secure-3c4843c0-b83f-4ba1-9bba-9c9a599f3ffb	0	0	1749	1749	0	1552703551100
AnVIL_CCDG_Broad_NP_Epilepsy_DEUULG_GRU_WES	fc-secure-3e71d768-9da9-4845-9e2c-7e909db92cb7	0	0	90	90	0	151413703702
anvil_ccdg_broad_ai_ibd_daly_lewis_ccfa_wes	fc-secure-3fdbe020-6bdb-4668-bcb8-0d0df9d4ba8a	0	0	2187	2187	0	2015685535384
AnVIL_CMG_Broad_Eye_Pierce_WES	fc-secure-3fe2e7df-0927-453d-a21c-d01ee9ed37cd	602	602	0	602	602	1498816360199
AnVIL_CCDG_WASHU_PAGE	fc-secure-40b4ead9-fdee-42e4-98c8-24b241568138	0	0	0	0	0	16983115155665
AnVIL_CMG_Broad_Orphan_Estonia-Ounap_WGS	fc-secure-4220b594-e88e-4468-b4ff-ef782fd51d15	115	115	0	115	115	2032990564100
AnVIL_CMG_Broad_Muscle_Topf_WES	fc-secure-42c87858-73f5-49bf-bbc1-05974a4262b4	722	722	1	723	722	1197186312266
AnVIL_HPRC	fc-4310e737-a388-4a10-8c9e-babe06aaf0cf	0	0	47	57	0	137016260702642
anvil_ccdg_broad_ai_ibd_daly_sands_msccr_wes	fc-secure-43207dac-0905-4fdd-b816-a34bd2ccebdd	0	0	1435	1435	0	1205840369701
AnVIL_CCDG_Broad_NP_Epilepsy_AUSRMB_DS-EAED-MDS_WES	fc-secure-4931149d-9e71-4865-9f41-3e4c998ffb38	0	0	356	356	0	557151092083
AnVIL_CCDG_Broad_AI_IBD_Cho_WGS	fc-secure-4984306f-6ceb-48a0-87d5-a6c4ef499867	0	0	345	344	0	5261350300386
AnVIL_CCDG_NYGC_NP_Autism_SAGE_WGS	fc-secure-4a5440e0-1b04-42c6-a1b4-e8249a578727	0	0	0	1501	1501	31592121759915
AnVIL_CCDG_Broad_Spalletta_HMB_NPU_MDS_WES	fc-secure-4c07a18a-8c79-4b81-acbe-91083298f1e4	0	0	102	102	0	163944131946
AnVIL_CCDG_NYGC_NP_Autism_PELPHREY_ACE_DS_WGS	fc-secure-4c1fdb5d-53b0-4a2f-88bd-da63817348d7	0	0	47	47	0	735629809271
AnVIL_CCDG_Broad_AI_IBD_Newberry_WGS	fc-secure-4c6f587f-be8c-4bb8-9053-7a85ed68ed3e	0	0	31	31	0	388276823792
AnVIL_CCDG_Broad_MI_ATVB_DS_CVD_WES	fc-secure-4d47049d-9a31-435d-8c97-61cffce9a83b	0	0	58	58	0	105246123125
AnVIL_CMG_Broad_Blood_Sankaran_WES	fc-secure-4dda26e8-0e9d-4162-a8b3-73c65b82ef31	277	277	0	277	277	520592381271
AnVIL_eMERGE_eMERGEseq	fc-secure-50f2310f-659c-4c60-af42-e028b58bad52	0	0	24956	24956	0	14669113442740
AnVIL_CCDG_Broad_NP_Epilepsy_DEUPUM_HMB_MDS_WES	fc-secure-51198b17-37ae-44b7-8513-c11c4bfe3a9d	0	0	264	264	0	388797191392
AnVIL_CCDG_Broad_NP_Epilepsy_USACCH_DS_NEURO_MDS_WES	fc-secure-516245cb-7dcc-487d-acf7-43e5fb10085f	0	0	358	358	0	632876268688
AnVIL_ccdg_asc_ndd_daly_talkowski_menashe_asd_exome	fc-secure-51a26e99-63eb-442a-869d-87ecbc60c814	0	0	701	701	0	738255261122
AnVIL_ccdg_asc_ndd_daly_talkowski_AGRE_asd_exome	fc-secure-538d85ea-c436-43f9-b001-4db614ed96bf	0	0	844	844	0	1541055739356
AnVIL_CCDG_Broad_NP_Epilepsy_GHAKNT_GRU_WES	fc-secure-550ffe2e-04fd-4763-b7d2-09f0c59083e4	0	0	642	642	0	556663364760
AnVIL_ccdg_asc_ndd_daly_talkowski_domenici_asd_exome	fc-secure-55225e12-ec4c-42e0-a5d1-986c87c6d129	0	0	713	713	0	1204457292103
AnVIL_CMG_Broad_Brain_Walsh_WES	fc-secure-55694600-0349-4174-980d-716fa1371e6a	767	767	0	767	767	1689288811129
anvil_ccdg_broad_ai_ibd_daly_rioux_niddk_wes	fc-secure-55efa443-810c-48c8-90bb-f07beba0e560	0	0	780	780	0	1287618441560
1000G-high-coverage-2019	fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e	0	0	3202	3202	0	72977870908794
AnVIL_CCDG_Baylor_CVD_HemStroke_ERICH_WGS	fc-secure-585ef3f0-76a9-40ae-8ed3-a47190c3148f	0	0	2558	2558	0	50227013831772
AnVIL_CCDG_NYGC_NP_Alz_EFIGA_WGS	fc-secure-588b9330-ec2f-4652-86cd-f6f57b4aecbf	0	0	1875	1875	0	42330469862059
anvil_ccdg_broad_ai_ibd_daly_kupcinskas_wes	fc-secure-589e3f7a-7b24-46cf-aefd-63b05155d826	0	0	2285	2285	0	3727394107015
AnVIL_CCDG_Broad_NP_Epilepsy_ITAIGI_GRU_WES	fc-secure-59d2af1f-3dc0-407b-b7ab-05cdcfa4da8f	0	0	980	980	0	1556199295067
AnVIL_CCDG_Baylor_CVD_EOCAD_SoL_WGS	fc-secure-5a7daa8b-9c5d-4b8d-a312-85e6c8af0197	0	0	9083	9083	0	200007850544864
AnVIL_CCDG_Broad_CVD_AF_ENGAGE_DS_WES	fc-secure-5efb4966-0994-41f8-a911-1d159c9bae1b	0	0	13621	13621	0	11576308604378
AnVIL_CMG_Broad_Muscle_Kang_WES	fc-secure-5f2d0e58-2d30-4026-be53-3878043f0044	49	49	0	49	49	103171895052
AnVIL_CCDG_Baylor_CVD_AFib_BioVU_WGS	fc-secure-5f3216ed-69ff-431f-ad1c-328d03ff3c80	0	0	1122	1122	0	26785431275347
AnVIL_ccdg_asc_ndd_daly_talkowski_TASC_asd_exome	fc-secure-5f916770-fded-4540-b4b6-49f88b8e05fc	0	0	3173	3173	0	5287647427917
AnVIL_CMG_Broad_Kidney_Hildebrandt_WES	fc-secure-5fe35c0c-4f8d-4f7d-8de6-7cba7cd9e01d	1222	1222	0	1222	1222	2408120392106
AnVIL_NIMH_Broad_WGSPD1_McCarroll_Pato_GRU_WGS	fc-secure-60efd02c-dae9-4272-a926-f47ae6a7a893	0	0	0	0	0	120472875345978
AnVIL_CCDG_Broad_CVD_AF_BioVU_HMB_GSO_WES	fc-secure-6513d7e1-2dbb-41a2-baea-3f7fdbcbb620	0	0	5031	5031	0	4649334941110
AnVIL_CCDG_Broad_NP_Epilepsy_LEBABM_DS_Epilepsy_WES	fc-secure-652024de-0ecd-4de3-8360-c8c5bfcafd72	0	0	140	140	0	234255240254
AnVIL_ccdg_asc_ndd_daly_talkowski_passos-bueno_asd_exome	fc-secure-6537d7f6-f29f-432b-b66e-8cf2204b7920	0	0	941	941	0	1306471346564
AnVIL_CMG_Broad_Muscle_OGrady_WES	fc-secure-65d7db7a-ceca-4b3a-aada-d45ec1c7b541	73	73	0	73	73	112749139398
AnVIL_CCDG_WashU_CVD_Indiana_WGS	fc-secure-65eb240a-fda1-4c9b-90ff-2476751bc967	0	0	1175	1175	0	11996698199755
AnVIL_CCDG_Broad_NP_Epilepsy_TURIBU_DS_NEURO_AD_NPU_WES	fc-secure-674fbd89-9eeb-4e43-8a6f-97d6e50708e0	0	0	163	163	0	293187170513
AnVIL_CCDG_Broad_NP_Epilepsy_FINUVH_HMB_NPU_MDS_WES	fc-secure-678eccb8-3463-4a72-8b57-69dfc8c77002	0	0	100	100	0	174252442175
AnVIL_ccdg_asc_ndd_daly_talkowski_AGRE-FEMF_asd_exome	fc-secure-68998ffa-e550-422b-9834-e78ac8a32990	0	0	405	405	0	2188420940
anvil_ccdg_broad_ai_ibd_daly_bernstein_wes	fc-secure-68b7e62f-132b-4818-bf64-6c38ec9152ab	0	0	536	536	0	465049154074
AnVIL_CCDG_Baylor_CVD_HemStroke_WashU_DS_WGS	fc-secure-68d06583-108f-44d3-bf2c-42fbb1952d45	0	0	92	92	0	1537668095230
AnVIL_ccdg_asc_ndd_daly_talkowski_control_NIMH_asd_exome	fc-secure-6a2f53f1-6712-48a9-a7b2-3289b8df877b	0	0	370	370	0	961469232330
AnVIL_CCDG_Broad_NP_Epilepsy_USABCH_EPI_MUL_CON_MDS_WES	fc-secure-6bc832d1-a35b-4676-bf68-a5772e2be044	0	0	304	304	0	411983665305
AnVIL_CCDG_Broad_NP_Epilepsy_CZEMTH_GRU_WES	fc-secure-6c21e787-1a4b-4235-b756-9ce6096fc815	0	0	16	16	0	27305104355
AnVIL_CCDG_Baylor_CVD_HemStroke_Duke_DS_WGS	fc-secure-6cb5e032-ae16-464a-859b-56384e40f1a3	0	0	60	60	0	867158373717
AnVIL_CCDG_TOPMED_Broad_CVD_EOCAD_PROMIS_WGS	fc-secure-709943c7-62cd-4ba8-9e19-77cdae337f5d	0	0	3849	3849	0	73128406788268
AnVIL_CMG_Broad_Brain_Gleeson_WES	fc-secure-71257390-0f52-49ca-b63a-1e0c6c089e5d	1181	1181	0	1181	1181	3062592514510
AnVIL_CMG_UWash_GRU	fc-secure-723963fa-faec-4de1-bf37-12d3c22a417a	0	0	0	1439	1439	26077365308348
AnVIL_CCDG_NYGC_NP_Autism_PELPHREY_ACE_GRU_WGS	fc-secure-7248d8b7-e064-487c-9514-28a7cf0e271c	0	0	197	197	0	3093191389720
anvil_nhgri_broad_ibd_daly_winter_wes	fc-secure-72a949c5-0b7d-45c9-96c3-ff4d25815ed5	0	0	412	412	0	772513373841
anvil_ccdg_broad_ai_ibd_daly_louis_wes	fc-secure-73036e74-c8b0-4e6f-9f4f-ca55b599d5d1	0	0	2120	2120	0	2835024513905
AnVIL_PAGE_WHI_HMB-IRB_WGS	fc-secure-756b92cc-ad23-41f2-8566-3620b1016886	0	0	0	235	235	5424892733068
AnVIL_CCDG_Broad_NP_Epilepsy_CANUTN_DS-EP_WES	fc-secure-75f95e44-299f-4666-bed3-46dd679b12d8	0	0	124	124	0	215279998868
AnVIL_CCDG_Broad_NP_Epilepsy_ITAUMC_DS_NEURO_MDS_WES	fc-secure-7a160245-84eb-4383-80ed-f41c2411e702	0	0	337	337	0	581279490775
AnVIL_CCDG_WashU_CVD_SCCS_WGS	fc-secure-7c502c02-435a-4cc6-a9bc-b2406d8079be	0	0	4326	4326	0	57561277894499
AnVIL_CCDG_Broad_NP_Epilepsy_LEBABM_GRU_WES	fc-secure-7c845669-3781-4ac0-bb59-1495d68d1d85	0	0	347	347	0	553872735266
AnVIL_ccdg_asc_ndd_daly_talkowski_renieri_asd_exome	fc-secure-7e0893cd-4f31-41e4-b1d2-3e656097824a	0	0	765	765	0	936183461518
anvil_ccdg_broad_ai_ibd_daly_chung_gider_wes	fc-secure-7e9fe869-643a-4828-a1b7-0245e34745ae	0	0	627	627	0	532126614145
AnVIL_CMG_Broad_Brain_Gleeson_WGS	fc-secure-7fc34f8f-2b28-45cf-9856-432ed7ee4ede	0	0	0	0	0	0
JKK_Anvil_Arrays_Test	fc-secure-80724e98-b0ba-4897-8855-9b01e403f678	0	0	0	0	0	0
AnVIL_CCDG_Freeze2_VCFs	fc-secure-83bea9db-38e6-4142-8fe7-6e94f471f8c2	0	0	0	0	0	37606094535702
AnVIL_CCDG_Broad_NP_Epilepsy_HKGHKK_HMB_MDS_WES	fc-secure-84e57da6-4df9-45de-9f82-8a550887a7fa	0	0	337	337	0	357853809700
AnVIL_CCDG_Broad_NP_Autism_State-Sanders_WGS	fc-secure-86684396-82a0-4f1b-a918-b90b039b922c	0	0	534	534	0	8643615423236
AnVIL_ccdg_asc_ndd_daly_talkowski_barbosa_asd_exome	fc-secure-86cbdfa9-cbc0-40fb-adfa-3dd467ae1062	0	0	213	213	0	349871302512
anvil_ccdg_broad_ai_ibd_niddk_daly_duerr_wes	fc-secure-877e6c8c-72ef-46d0-b3f3-37dd175771fe	0	0	446	446	0	465095088436
AnVIL_CCDG_WashU_CVD_EOCAD_WashU-CAD_DS_WGS	fc-secure-87fff435-fd01-4bd9-91b4-8670f7b19162	0	0	80	80	0	3429414839201
ANVIL_CMG_YALE_DS-RARED	fc-secure-88badcb3-692d-44c4-a9f8-bc14969c1b54	0	87	171	171	0	139064364076
AnVIL_CCDG_Baylor_CVD_HemStroke_BNI_HMB_WGS	fc-secure-8976991f-e383-43db-86b5-3d1b15af0a51	0	0	160	160	0	2613985638874
AnVIL_CMG_Broad_Kidney_Hildebrandt_WGS	fc-secure-897c9696-eae5-4f73-acf3-9118f5e1e698	27	27	0	27	27	522703531739
AnVIL_CCDG_Broad_NP_Epilepsy_DEUUKL_HMB_WES	fc-secure-8a282388-3c56-48c6-99c8-ea4b52c053b9	0	0	194	194	0	357410581117
AnVIL_ccdg_asc_ndd_daly_talkowski_herman_asd_exome	fc-secure-8a297961-e042-4d02-826f-0322b3d7fbff	0	0	49	49	0	79895582863
AnVIL_CCDG_WashU_CVD_EOCAD_BioVu_WGS	fc-secure-8e933d1a-d546-4267-967f-bc00d03f4880	0	0	624	624	0	11946516978946
AnVIL_CCDG_Broad_NP_Epilepsy_DEUUKB_HMB_NPU_MDS_WES	fc-secure-8ec82876-176f-4f33-ae98-0a3cae871ed4	0	0	2337	2337	0	3635712622686
AnVIL_CMG_Broad_Blood_Gazda_WES	fc-secure-91c2f2c0-a04f-4147-a5e4-971e3e8cbd8a	0	0	51	51	0	78365135215
anvil_ccdg_broad_ai_ibd_daly_mcgovern_niddk_wes	fc-secure-91f9e579-b064-4992-8b00-c789ca48f861	0	0	7302	7302	0	9420295780725
AnVIL_NIMH_Broad_WGSPD1_McCarroll_Escamilla_DS_WGS	fc-secure-945a70d2-6f85-4130-b624-038a2e171811	0	0	85	85	0	3446932111306
